comment,cleaned,sentiment
Ya kb launch ho rhy hn new arrivals,ya kb launch ho rhy hn new arrivals,positive
Is it available online....?,available online,positive
❤️,,neutral
Price plz,price plz,neutral
Any upcoming sale?,upcoming sale,neutral
Website pr show nahi ho raha kindly update your website,website pr show nahi ho raha kindly update website,positive
Price plz,price plz,neutral
Website py to nh mil raha ye,website py nh mil raha ye,neutral
Price please?,price please,neutral
Price plz,price plz,neutral
Price plz,price plz,neutral
Stiched ki sale b ha,stiched ki sale b ha,neutral
Ye website py show nae ho raha,ye website py show nae ho raha,neutral
Prize,prize,neutral
Link plz,link plz,neutral
Volume 2,volume,neutral
How much price,much price,positive
Rates buht increase kr diye hn,rates buht increase kr diye hn,neutral
Looks so elegant 😍😍,looks elegant,positive
Price,price,neutral
Please update your website,please update website,neutral
Pp,pp,neutral
Price?,price,neutral
Prize,prize,neutral
Hi I can’t find this,hi cant find,neutral
Price,price,neutral
Pp,pp,neutral
Pp this article,pp article,neutral
Price,price,neutral
Price,price,neutral
Yi nhi mil rhaa online store py plz help me😢,yi nhi mil rhaa online store py plz help,neutral
this article is not available on website,article available website,positive
Price this article,price article,neutral
Apk page pr nhi araha,apk page pr nhi araha,neutral
Pp,pp,neutral
Me nee le hai yhi sott bahott payarii hai,nee le hai yhi sott bahott payarii hai,neutral
Pp,pp,neutral
Price,price,neutral
😍,,neutral
Please dm the link,please dm link,neutral
Fazol sale hai,fazol sale hai,neutral
Not available?,available,positive
Ye dress to show he nii ho rha??,ye dress show nii ho rha,neutral
Can you please send me the direct link of this dress??,please send direct link dress,neutral
Mera kehny ka matlb ye hai k sapphire ka jaha bhe dukan ho masla Hal Karna chahiye ... Ye helpline ka q kehty hai,mera kehny ka matlb ye hai k sapphire ka jaha bhe dukan ho masla hal karna chahiye ye helpline ka q kehty hai,neutral
"Bht afsos se kehna parh Raha hai""zoyakhaan1991",bht afsos se kehna parh raha haizoyakhaan,neutral
💚💚💚💚💚💚,,neutral
❤️,,neutral
Price,price,neutral
Price,price,neutral
👏👏,,neutral
❤️,,neutral
Awesome 👍😍😍,awesome,positive
Prices,prices,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
price,price,neutral
Price,price,neutral
Price please,price please,neutral
Price,price,neutral
Beautiful,beautiful,positive
Price??,price,neutral
Price,price,neutral
Price,price,neutral
P.p,pp,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
Price please,price please,neutral
Price,price,neutral
Price,price,neutral
price,price,neutral
Price,price,neutral
Price,price,neutral
